INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (326277, 233865, '54 Mcguire Center', 51, 110, 31, 'Brnaby');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (128524, 370624, '1147 Stone Corner Place', 66, 8574, 28, 'Hermann');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (128259, 151768, '4645 American Center', 52, 7851, 37, 'Dominik');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (462257, 799598, '09535 Lerdahl Hill', 65, 9064, 39, 'Angeli');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (126518, 453042, '61 Veith Junction', 26, 2646, 1, 'Odie');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (518017, 813726, '857 Norway Maple Park', 88, 314, 4, 'Davis');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (809350, 824661, '0 Magdeline Pass', 56, 1470, 94, 'Jarret');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (607102, 512831, '6948 Butterfield Place', 31, 2959, 95, 'Kennett');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (607830, 201539, '6 Elmside Point', 32, 6717, 46, 'Massimo');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (512915, 114854, '06 Lotheville Way', 32, 4888, 90, 'Bertrand');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (175587, 900606, '891 Forest Crossing', 32, 4500, 55, 'Dennie');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (331557, 514220, '19 Superior Parkway', 76, 9228, 88, 'Hallsy');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (337360, 122209, '714 Dorton Hill', 11, 8690, 80, 'Herc');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (525568, 408451, '7202 South Trail', 91, 6466, 99, 'Dennet');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (818219, 845462, '766 Transport Point', 28, 1193, 58, 'Maximilianus');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (819974, 785434, '683 Springview Alley', 31, 1106, 13, 'Walther');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (945643, 503207, '5771 Rutledge Way', 6, 6269, 48, 'Horton');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (502783, 285131, '1655 Hudson Place', 8, 1347, 22, 'Edik');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (557321, 965395, '140 Straubel Alley', 28, 4251, 66, 'Sherwynd');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (759645, 920915, '29 Thackeray Alley', 99, 7510, 92, 'Daryl');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (447013, 800030, '83982 Hoffman Crossing', 27, 7183, 1, 'Carolus');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (821779, 856684, '2791 Melvin Point', 4, 7975, 97, 'Thane');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (183400, 849138, '701 Fairfield Avenue', 78, 5522, 4, 'Cornell');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (517824, 465180, '971 Riverside Trail', 36, 4792, 49, 'Ban');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (416052, 527650, '14728 Dunning Plaza', 99, 6296, 61, 'Urbano');

INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (383015, 439989, '29 Mockingbird Junction', 74, 2443, 37, 'Tarrance');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (867083, 284575, '99 Schmedeman Junction', 60, 7412, 98, 'Skylar');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (314989, 404563, '2265 Delaware Hill', 94, 2421, 46, 'Orazio');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (871908, 680020, '99 Dakota Circle', 69, 2121, 99, 'Caesar');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (152374, 481270, '96879 Dixon Hill', 34, 3040, 29, 'Wiley');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (768641, 531667, '1781 Rigney Road', 60, 6118, 50, 'Maxim');
